ht_mode,alpha_mshr_hit_factor,llc_extra_ns,llc_extra_cyc,tL1_hit_cyc,tL2_hit_cyc,tL3_hit_cyc,m1_L1_miss_rate,m2_L2_miss_rate,m3_L3_miss_rate,p1_L1_new_mshr_frac,p2_L2_new_mshr_frac,p3_L3_new_mshr_frac,dram_avg_cyc,amat_stats_cyc,amat_textbook_cyc,amat_textbook_mshr_cyc,abs_err_textbook,abs_err_textbook_mshr,benchmark
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.054134,0.292427,0.391399,0.041196,0.292427,0.391399,77.43294294294294,8.399607967363266,11.430042580712577,7.580430811880407,3.0304346133493105,0.8191771554828593,620onmetpp_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.000802,0.212494,1.0,0.000331,0.212494,1.0,83.4545945945946,4.0388530776367935,4.060958452433728,4.008937507421771,0.02210537479693464,0.02991557021502267,625x264_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.000802,0.212494,1.0,0.000331,0.212494,1.0,83.4545945945946,6.0388530776367935,6.074091058073728,6.01123417436329,0.03523798043693471,0.02761890327350347,625x264_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.004941,0.072282,0.992563,0.003331,0.072282,0.992563,81.19987987987989,4.146818320218157,4.1919335518042455,4.050288287267468,0.0451152315860881,0.09653003295068974,638imagick_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.004941,0.072282,0.992563,0.003331,0.072282,0.992563,81.19987987987989,6.146818320218157,6.252057912664245,6.06894267778827,0.10523959244608783,0.07787564242988765,638imagick_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.270792,0.999935,0.102916,0.089523,0.999935,0.102916,77.02927927927928,19.784483193578147,60.33433349893081,13.971889801475653,40.54985030535266,5.812593392102494,degreeCentr
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.270792,0.999935,0.102916,0.089523,0.999935,0.102916,77.02927927927928,21.784483193578147,73.16548545453081,17.922488583610324,51.38100226095266,3.861994609967823,degreeCentr
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.244973,0.102212,0.107777,0.180988,0.102212,0.107777,77.21354354354355,11.344713974211109,13.617892313232757,7.249546216745827,2.273178339021648,4.095167757465282,graphColoring
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.244973,0.102212,0.107777,0.180988,0.102212,0.107777,77.21354354354355,13.344713974211109,18.818797721512755,10.49887700124144,5.474083747301647,2.8458369729696695,graphColoring
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.250116,0.508953,0.100327,0.206293,0.508953,0.100327,76.85474474474475,14.196421224014848,32.91266213803892,15.29697874038616,18.71624091402407,1.1005575163713122,kCore
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.250116,0.508953,0.100327,0.206293,0.508953,0.100327,76.85474474474475,16.19642122401485,41.23274079447892,19.9745690484351,25.036319570464073,3.7781478244202518,kCore
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.402534,0.602612,0.018362,0.379074,0.602612,0.018362,76.98351351351351,17.710663962317025,56.08563769667725,32.05277053801346,38.374973734360225,14.342106575696437,pageRank
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.402534,0.602612,0.018362,0.379074,0.602612,0.018362,76.98351351351351,19.710663962317025,69.38813226091725,40.45313455014233,49.67746829860022,20.742470587825306,pageRank
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.369994,0.823778,0.037692,0.139964,0.823778,0.037692,77.09378378378378,22.426613736055927,67.18488990087688,16.480121966245854,44.758276164820956,5.946491769810073,triangleCount
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.369994,0.823778,0.037692,0.139964,0.823778,0.037692,77.09378378378378,24.426613736055927,82.02861742083688,21.075730132164814,57.602003684780954,3.3508836038911127,triangleCount
